date,totals
2014-05-01,31
2014-05-01,78127
2014-05-01,33247
2014-05-01,1155
2014-05-01,9289
2014-05-01,92638
2014-05-01,36151
2014-05-01,8165
2014-05-01,10895
2014-05-01,230610
2014-05-01,19085
2014-05-01,5674
2014-05-01,7913
2014-05-01,14087
2014-05-01,31109
2014-05-01,34462
2014-05-01,12506
2014-05-01,31691
2014-05-01,8930
2014-05-01,4074
2014-05-01,8950
2014-05-01,10119
2014-05-01,7908
2014-05-01,10235
2014-05-01,25889
2014-05-01,34589
2014-05-01,5216
2014-05-01,40586
2014-05-01,22251
2014-05-01,17875
2014-05-01,63261
2014-05-01,1471
2014-05-01,21331
2014-05-01,5167
2014-05-01,33567
2014-05-01,97814
2014-05-01,26525
2014-05-01,2100
2014-05-01,27385
2014-05-01,37636
2014-05-01,14682
2014-05-01,22493
2014-05-01,5187
2014-06-01,41709
2014-06-01,6005
2014-06-01,22049
2014-06-01,14177
2014-06-01,102639
2014-06-01,26802
2014-06-01,13270
2014-06-01,2928
2014-06-01,23
2014-06-01,70597
2014-06-01,30386
2014-06-01,1210
2014-06-01,9745
2014-06-01,112407
2014-06-01,30807
2014-06-01,8569
2014-06-01,10053
2014-06-01,214382
2014-06-01,18906
2014-06-01,4783
2014-06-01,7320
2014-06-01,13474
2014-06-01,28148
2014-06-01,35400
2014-06-01,11455
2014-06-01,30079
2014-06-01,8454
2014-06-01,3550
2014-06-01,9000
2014-06-01,8534
2014-06-01,6649
2014-06-01,9546
2014-06-01,23810
2014-06-01,32577
2014-06-01,4224
2014-06-01,35267
2014-06-01,21797
2014-06-01,16461
2014-06-01,56296
2014-06-01,1251
2014-06-01,19781
2014-06-01,4781
2014-06-01,32665
2014-06-01,91133
2014-06-01,23271
2014-06-01,1736
2014-06-01,26351
2014-06-01,32647
2014-06-01,12646
2014-06-01,19302
2014-06-01,4644
2014-07-01,43600
2014-07-01,6035
2014-07-01,21193
2014-07-01,13484
2014-07-01,104309
2014-07-01,29247
2014-07-01,12620
2014-07-01,2960
2014-07-01,49
2014-07-01,70230
2014-07-01,32987
2014-07-01,1291
2014-07-01,8251
2014-07-01,86596
2014-07-01,31816
2014-07-01,7575
2014-07-01,10381
2014-07-01,248979
2014-07-01,17996
2014-07-01,4923
2014-07-01,6878
2014-07-01,12638
2014-07-01,29119
2014-07-01,33483
2014-07-01,11995
2014-07-01,30494
2014-07-01,7798
2014-07-01,3704
2014-07-01,8108
2014-07-01,8374
2014-07-01,6792
2014-07-01,9168
2014-07-01,27126
2014-07-01,31117
