date,state,gtrend,totals,urban_pop_percent,rural_pop_percent,year,population,percent_in_poverty,Median income,Standard error,partisan_index_dem,partisan_index_rep,month,percent_of_unemployed_poulation
2013-09-01,Wyoming,72.22222222222223,5018,64.8,35.2,2013,576412,10.9,70920,4034,0.2810768170996758,0.7189231849205009,9,4.6
2013-10-01,Alabama,46.268656716417915,51520,59,41,2013,4831586,18.9,52690,2947,0.3710844328276452,0.6289155607332717,10,7.2
2013-10-01,Alaska,64.17910447761194,8322,66,34,2013,737626,10.1,77840,4203,NA,NA,10,6.9
2013-10-01,Arizona,44.776119402985074,24148,89.8,10.2,2013,6634690,18.6,64430,6151,0.4574213976424611,0.5425786066268287,10,7.6
2013-10-01,Arkansas,47.76119402985075,19661,56.2,43.8,2013,2960459,19.4,50830,3042,0.48567018393534195,0.514329818645026,10,6.9
2013-10-01,California,32.926829268292686,114595,95,5,2013,38253768,16.8,73240,1557,0.6056939225609718,0.3943060749760959,10,8.6
2013-10-01,Colorado,41.46341463414634,34371,86.2,13.8,2013,5270774,12.9,80680,3565,0.5371180414925745,0.4628819628182435,10,6.4
2013-10-01,Connecticut,35.36585365853659,20189,88,12,2013,3595792,10.7,86300,3243,0.600984173317023,0.3990158139725204,10,7.6
2013-10-01,Delaware,32.926829268292686,2989,83.3,16.7,2013,924062,12.9,66490,3165,0.6093219091863484,0.3906780925524182,10,6.2
2013-10-01,District of Columbia,36.84210526315789,37,100,0,2013,651559,18.8,77250,3924,NA,NA,10,8.2
2013-10-01,Florida,35.78947368421053,79284,91.2,8.8,2013,19551678,17.1,60970,2003,0.5060468408809872,0.49395315451065425,10,7.2
2013-10-01,Georgia,37.89473684210526,38032,75.1,24.9,2013,9975592,19,60400,2494,0.46071402503431347,0.539285975819194,10,7.8
2013-10-01,Hawaii,33.68421052631579,1325,91.9,8.1,2013,1408822,11.2,78180,2810,0.7232555829760732,0.2767443997215394,10,4.7
2013-10-01,Idaho,52.112676056338024,10694,70.6,29.4,2013,1612053,15.6,65910,4655,0.3482528697774142,0.6517471349045739,10,6.9
2013-10-01,Illinois,35.2112676056338,101416,88.5,11.5,2013,12895778,14.6,72820,2220,0.5698630480523036,0.43013695560783716,10,8.9
2013-10-01,Indiana,54.92957746478873,43650,72.4,27.6,2013,6570575,15.8,64360,4100,0.4753935191739863,0.5246064748796045,10,6.9
2013-10-01,Iowa,50.70422535211267,11717,64,36,2013,3093935,12.6,69840,2504,0.47973469231243715,0.5202653045122217,10,4.5
2013-10-01,Kansas,44.30379746835443,15038,71.4,28.6,2013,2894306,13.9,65550,1907,0.3907878854163275,0.6092121077438607,10,5.1
2013-10-01,Kentucky,53.16455696202532,204305,58.4,41.6,2013,4406906,18.8,53680,2386,0.42251425596454956,0.5774857494792507,10,7.8
2013-10-01,Louisiana,44.30379746835443,28194,73,27,2013,4626040,20,50450,3638,0.42128698563249184,0.5787130163604736,10,6
2013-10-01,Maine,49.36708860759494,9707,38.7,61.3,2013,1328543,14,63810,2487,0.4636900914080507,0.536309921563641,10,6.4
2013-10-01,Maryland,37.37373737373738,20526,87.2,12.8,2013,5925197,10.2,83090,5584,0.6401707402950397,0.35982926837684276,10,6.3
2013-10-01,Massachusetts,31.313131313131315,19891,92,8,2013,6715158,11.9,80160,4400,0.6252725649577769,0.374727420690005,10,6.5
2013-10-01,Michigan,38.38383838383839,40320,74.6,25.4,2013,9914802,17,62130,2838,0.566842757749861,0.433157230948374,10,8.5
2013-10-01,Minnesota,45.45454545454546,43178,73.3,26.7,2013,5414722,11.2,77550,2347,0.545767401485365,0.4542325927964967,10,4.8
2013-10-01,Mississippi,45.58823529411765,18028,51.2,48.8,2013,2989839,23.9,52010,2730,0.3458143462748377,0.6541856524745534,10,8.3
2013-10-01,Missouri,47.05882352941177,42480,70.5,29.5,2013,6042989,15.8,64060,4708,0.46137383240782837,0.5386261600395821,10,6.6
2013-10-01,Montana,69.11764705882354,12038,55.9,44.1,2013,1014158,16.1,56190,4140,0.5203027663251779,0.4796972353906651,10,5.2
2013-10-01,Nebraska,45.58823529411765,6517,73.1,26.9,2013,1855525,12.9,68470,2311,0.41015441999151153,0.5898455659031795,10,3.6
2013-10-01,Nevada,52.631578947368425,9800,94.2,5.8,2013,2790136,15.8,57760,3603,0.5442942470521849,0.4557057335343141,10,9.5
2013-10-01,New Hampshire,50,11318,60.3,39.7,2013,1323459,9,90810,4152,0.4831975161283938,0.5168024737148563,10,5.1
2013-10-01,New Jersey,26.315789473684212,9341,94.7,5.3,2013,8882190,11.4,78660,3893,0.5766851624041142,0.42331483352729093,10,7.8
2013-10-01,New Mexico,50,12018,77.4,22.6,2013,2085286,21.4,53640,3399,0.5626662842571468,0.4373337022287587,10,6.8
2013-10-01,New York,23.17073170731707,30402,91.9,8.1,2013,19570261,16,68550,2091,0.6467602930141044,0.3532397059532948,10,7.5
2013-10-01,North Carolina,42.68292682926829,40850,66.1,33.9,2013,9746170,17.8,52470,2620,0.48583171651383633,0.5141682814554603,10,6.6
2013-10-01,North Dakota,51.21951219512195,8511,59.9,40.1,2013,723393,11.6,67340,3645,0.45646686404846704,0.5435331403979632,10,2.8
2013-10-01,Ohio,41.46341463414634,48416,77.9,22.1,2013,11594163,15.9,59070,1765,0.5024644958674208,0.4975354948037561,10,7.2
2013-10-01,Oklahoma,54.285714285714285,27268,66.2,33.8,2013,3849733,16.7,55740,5201,0.337539612216696,0.6624603772327872,10,5.1
2013-10-01,Oregon,20,19484,81,19,2013,3892387,16.5,71690,2574,0.5700606409901484,0.4299393601172292,10,7.3
2013-10-01,Pennsylvania,37.142857142857146,79205,78.7,21.3,2013,12788956,13.7,68690,2045,0.5412938053560113,0.45870618420697157,10,6.8
2013-10-01,Rhode Island,38.57142857142857,1862,96,4,2013,1051165,14.7,73610,2718,0.6410377777331312,0.35896221543301277,10,9.4
2013-10-01,South Carolina,47.36842105263158,21704,66.3,33.7,2013,4774839,18.5,55700,3781,0.4049856715416847,0.5950143246738955,10,6.8
2013-10-01,South Dakota,47.36842105263158,8534,56.7,43.3,2013,844877,14,69330,3858,0.4720001106789394,0.5279998894558885,10,3.6
2013-10-01,Tennessee,51.31578947368421,42522,69.1,30.9,2013,6456243,17.8,54110,3736,0.40463460111854593,0.5953653974767769,10,7.3
2013-10-01,Texas,42.10526315789474,124834,84.7,15.3,2013,26448193,17.5,67510,2054,0.4185736614408074,0.5814263400094883,10,6.1
2013-10-01,Utah,63.1578947368421,17812,90.6,9.4,2013,2903379,12.6,80170,5267,0.3044073801486776,0.6955926099950918,10,4
2013-10-01,Vermont,45.614035087719294,2951,33.3,66.7,2013,626630,12.3,69830,3795,0.6822495155071454,0.31775048206812506,10,4.3
2013-10-01,Virginia,45.614035087719294,36623,74.3,25.7,2013,8260405,11.7,86090,3236,0.5347064751836805,0.46529352207988917,10,5.4
2013-10-01,Washington,38.59649122807017,41311,84.1,15.9,2013,6971406,14.1,76530,2799,0.5462990365027062,0.4537009745585215,10,6.5
2013-10-01,West Virginia,61.111111111111114,19865,48.7,51.3,2013,1854304,18.4,51230,3425,0.4630924362109835,0.5369075635158326,10,6.7
2013-10-01,Wisconsin,40.74074074074074,35951,70.2,29.8,2013,5742713,13.5,70350,2977,0.5687130785194301,0.43128692215773967,10,6.4
2013-10-01,Wyoming,66.66666666666667,4629,64.8,35.2,2013,576412,10.9,70920,4034,0.2810768170996758,0.7189231849205009,10,4.6
2013-11-01,Alabama,53.73134328358209,59213,59,41,2013,4831586,18.9,52690,2947,0.3710844328276452,0.6289155607332717,11,7.2
2013-11-01,Alaska,76.11940298507463,6868,66,34,2013,737626,10.1,77840,4203,NA,NA,11,6.9
2013-11-01,Arizona,52.23880597014926,26839,89.8,10.2,2013,6634690,18.6,64430,6151,0.4574213976424611,0.5425786066268287,11,7.5
2013-11-01,Arkansas,59.701492537313435,24393,56.2,43.8,2013,2960459,19.4,50830,3042,0.48567018393534195,0.514329818645026,11,6.7
2013-11-01,California,34.146341463414636,109140,95,5,2013,38253768,16.8,73240,1557,0.6056939225609718,0.3943060749760959,11,8.5
2013-11-01,Colorado,45.12195121951219,37908,86.2,13.8,2013,5270774,12.9,80680,3565,0.5371180414925745,0.4628819628182435,11,6.2
2013-11-01,Connecticut,37.80487804878049,22530,88,12,2013,3595792,10.7,86300,3243,0.600984173317023,0.3990158139725204,11,7.5
2013-11-01,Delaware,46.34146341463415,3354,83.3,16.7,2013,924062,12.9,66490,3165,0.6093219091863484,0.3906780925524182,11,6.2
2013-11-01,District of Columbia,35.78947368421053,35,100,0,2013,651559,18.8,77250,3924,NA,NA,11,8.1
2013-11-01,Florida,38.94736842105263,86342,91.2,8.8,2013,19551678,17.1,60970,2003,0.5060468408809872,0.49395315451065425,11,7.1
2013-11-01,Georgia,45.26315789473684,43059,75.1,24.9,2013,9975592,19,60400,2494,0.46071402503431347,0.539285975819194,11,7.7
2013-11-01,Hawaii,30.52631578947368,1103,91.9,8.1,2013,1408822,11.2,78180,2810,0.7232555829760732,0.2767443997215394,11,4.7
2013-11-01,Idaho,59.154929577464785,10703,70.6,29.4,2013,1612053,15.6,65910,4655,0.3482528697774142,0.6517471349045739,11,6.4
2013-11-01,Illinois,40.84507042253521,90868,88.5,11.5,2013,12895778,14.6,72820,2220,0.5698630480523036,0.43013695560783716,11,8.7
2013-11-01,Indiana,64.78873239436619,51526,72.4,27.6,2013,6570575,15.8,64360,4100,0.4753935191739863,0.5246064748796045,11,6.7
